score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
9.0,Very satisfactory &amp; convenient for transport .,"Very friendly &amp; welcoming staff . My room was upgraded which was a nice surprise. Very clean , beautiful big bed . Didn’t have breakfast but perhaps would next time . Would book with this hotel again .",Just said in above message plus was able to leave my luggage safely while I went sightseeing.,United Kingdom,Superior Double Room,1 night ·,Solo traveller,August 2021,24 August 2021,,
9.0,Lovely stay,Staff were lovely and very attentive,A few basic items missing such has glasses and toilet brush,United Kingdom,Deluxe Double Room,4 nights ·,Group,August 2021,24 August 2021,,
9.0,Superb,"Location, quietness, staff",Nothing,United Kingdom,Superior Double Room,4 nights ·,Family,August 2021,24 August 2021,,
9.0,Great stay!,"They couldn’t do enough for you, clean good location and friendly staff!",,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2021,23 August 2021,,
9.0,Perfect for what we needed!,"It was so close to Earl’s Court station that we could get anywhere easily! And it was a lovely walk to Buckingham palace via Kensington palace Room was lovely, staff were exceptional and made it special for my partners birthday",The room was a little cold on the first night but we cranked it up and it was much better after that!,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2021,22 August 2021,,
9.0,Fabulous Staff,"The staff at this hotel are incredible!!! I can not overstate how well we were looked after during our stay. Every person we encountered went above and beyond to help us, in the most polite manner possible and with a smile. Great location close to the tube station. Clean and tidy with prompt and regular housekeeping visit. At one point I think they made our bed three times in one day after they had seen us go out. Fantastic - thank you so much!",Some of the decor in the room could do with a tidy up but all minor details.,United Kingdom,Deluxe Double Room,4 nights ·,Couple,August 2021,22 August 2021,,
8.0,Enjoyable stay.,Very friendly and helpful staff. Breakfast very satisfactory and layout well organised. Location of hotel good for my stay in London.,"Room was smaller than expected though was comfortable and importantly, quiet. Fridge and safe in room appreciated.",United Kingdom,Superior Double Room,4 nights ·,Solo traveller,August 2021,22 August 2021,,
9.0,Staff excellence..,Amazing staff..Really worked hard at ensuring our stay was the best it could be..,No dislikes,United Kingdom,Superior Double Room,3 nights ·,Couple,August 2021,22 August 2021,,
8.0,Lovely Hotel in a Great Location,The hotel location was great with Earls Court Tube Station a short walk away. The facilities were good and the breakfast was excellent. Clean and tidy rooms and the staff were very pleasant and helpful.,Nothing much at all. My only minor criticism was that the lady at my check in could have been more welcoming - a smile would have helped😊,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,August 2021,21 August 2021,1,
9.0,Superb,"Location was perfect, very easy to travel around central London. Staff were very welcoming and friendly - we were even offered a free room upgrade! Beds were very comfortable and very good value for money. We will definitely be returning in the future!",,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2021,20 August 2021,1,
9.0,"Excellent location, good value, clean comfortable hotel with exceptional staff hospitality",Location fantastic 150 from Earl’s Court tube station. Self service breakfast was excellent hot and plentiful. All the staff were amazing friendly polite and attentive.  Albeit the furniture in the rooms could be described as a little dated the rooms were clean and comfortable.,There was not much to dislike about the hotel.,United Kingdom,Superior Double Room,3 nights ·,Group,August 2021,20 August 2021,,
9.0,Superb,"Very pleasant, friendly staff, clean room and great location for visiting",Nothing,United Kingdom,Superior Double Room,1 night ·,Couple,August 2021,20 August 2021,,
9.0,Excellent value &amp; location. Staff were fab!,"Staff were incredibly friendly and attentive. Everyone seemed to enjoy working there which is a plus.Around ten minutes in the tube to Westminster (Buck House, Houses of parliament, war room etc) and 29 from Piccadilly Circus. Nice quiet area.",Next time we might venture elsewhere for breakfast. Handy if you are short on time as it's just there. Breakfast was perfectly fine but just a personal preference.,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2021,18 August 2021,,
9.0,Superb,"Affordable, air con on a hot day. good shower, room was decent especially for the price",,United Kingdom,Deluxe Double Room,2 nights ·,Couple,July 2021,17 August 2021,1,
9.0,Very good stay and would be happy to stay again for short breaks.,The friendliness from staff. The decor was modern. The room was clean. Staff were helpful and accommodated to all queries.,Uncomfortable bed which is the only thing we did not like.,United Kingdom,Superior Double Room,5 nights ·,Group,August 2021,16 August 2021,,
9.0,Lovely clean and tidy,"It was a lovely hotel, staff were lovely and made it very special for myself and my partner. It was perfect! Thank you.",Rooms smaller than thought,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2021,15 August 2021,,
9.0,Lovely hotel,"Location was perfect, bed was so comfortable and the shower was spot on! A hidden gem, definitely will come again.",The drawer next to the bed had previous customers rubbish in which we found on our last day,United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2021,14 August 2021,,
9.0,Superb,The location was excellent - really close to the tube. For a night in Central London the price was really reasonable. Super friendly and helpful staff and the room was modern and comfortable. We'd definitely go back.,,United Kingdom,Superior Double Room,1 night ·,Couple,August 2021,14 August 2021,,
8.0,Weekend away,Very clean room lovely touches in room,Very pleased with stay,United Kingdom,Superior Double Room,1 night ·,Couple,August 2021,14 August 2021,,
8.0,Over all a very pleasant stay!,Was disappointed to have a shower over the bath.  Would have preferred a separate showerBreakfast was a bit disappointing. We were told it was a buffet.  no mention that we could have eggs any way we liked!  Nor was there a good selection of fresh fruit or dried fruits.  Trying to cut a large orange with an eating knife is not easy! On first morning coffee was plentiful...second day we had to keep asking!Otherwise all was good.  Staff were very friendly and the supply / offer of water was great!,Oops see above,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2021,13 August 2021,1,
8.0,Very good,room service excellent,nothing,Macao (China),Superior Double Room,2 nights ·,Solo traveller,August 2021,13 August 2021,1,
9.0,Fantastic hotel !,Nice boutique hotel with excellent staff.  Always polite and helpful. Very close to Earl's court tube station and only 2mins from hotel. Plenty of eateries close by and walking distance. Nice breakfast area and staff very polite.,There is nothing that I didn't like.,United Kingdom,Deluxe Double Room,2 nights ·,Family,August 2021,13 August 2021,,
9.0,"Lovely, welcoming hotel",Everything the staff were absolutely lovely had a wonderful atmosphere and our room was delightful. Would definitely stay again!!,Nothing,United Kingdom,Superior Double Room,4 nights ·,Couple,August 2021,13 August 2021,,
8.0,A Nice Stay in an old Favourite!,Lovely staff and a very pleasant hotel in a lively and interesting neighbourhood. Room was very good - well-equipped and comfortable. Breakfasts were adequate.,"We have stayed at Park Grand Kensington a number of times in the pre-covid past and have always enjoyed our times there. The hotel is well-cared for and managed, with kindly staff. It is in recovery from pandemic shut-down and not quite as vivacious as it used to be. Breakfasts, for example, are a little duller and repetitive.",United Kingdom,Club Double Room,4 nights ·,Couple,August 2021,13 August 2021,,
8.0,Very good,Masks in the reception. Tha location. The friendly staff.,"Needing to go to the reception  to ask for tea, coffee and milk.",United Kingdom,Superior Double Room,3 nights ·,Couple,August 2021,12 August 2021,,
